297041;Western Sydney University
297566;University of the Philippines
297256;Texas A&M University
294075;University of Leicester
294307;Karl-Franzens-Universitaet Graz
294873;Universiti Teknologi Malaysia
297191;University of Waterloo
294494;Dublin City University
295115;National Research University Higher School of Economics (HSE University)
297266;Technische Universität Berlin (TU Berlin)
297217;University of Tartu
294476;Eindhoven University of Technology
294594;Rheinische Friedrich-Wilhelms-Universität Bonn
297260;Tel Aviv University
294506;Dalhousie University
297484;KTH Royal Institute of Technology
296979;Università degli studi Roma Tre
294528;University of Cincinnati
294603;University of Bergen
297280;University of Stirling
297234;University of Tsukuba
294645;Academy of Sciences of the Czech Republic
294169;University of Kansas
294507;Curtin University
297532;Université Paris Ouest Nanterre La Défense
297070;University of Porto
297210;University of Victoria
294865;Massey University
297475;Ruhr-Universität Bochum
297512;Università degli Studi di Pavia
293990;Université Lumière Lyon 2
294859;University of Miami
294743;University of Southern Denmark
294749;Novosibirsk State University
294548;Pontificia Universidad Católica del Perú
297493;University of Pretoria
294576;Cairo University
297245;Tomsk State University
297275;University of Surrey
294138;Kingston University, London
297271;National Taiwan University of Science and Technology (Taiwan Tech)
297240;Université de Toulouse II-Le Mirail
297064;Maynooth University
297248;Tokyo Institute of Technology
296463;Universidad Carlos III de Madrid (UC3M)
294415;Flinders University
296872;Pontificia Universidad Javeriana
297281;Stellenbosch University
297392;Universidad de Sevilla
294819;University of Naples - Federico II
297268;University of Tasmania
297009;Nankai University
297469;Universität Stuttgart
294568;University of California, Riverside
297494;University of Rochester
297222;Umea University
297224;University of East Anglia (UEA)
293985;Maastricht University
297591;Syracuse University
294583;Brunel University London
297367;Shanghai University
294083;Laval University
294517;University of Connecticut
297227;University of Turku
294158;Kazan (Volga region) Federal University
297071;Swinburne University of Technology
297434;Universidade de Santiago de Compostela
294802;University at Buffalo SUNY
297429;Universidad de Santiago de Chile (USACH)
297214;Universitat de Valencia
294646;Aberystwyth University
294837;North Carolina State University
294053;University of Limerick
297195;Washington State University
297138;Auckland University of Technology (AUT)
297487;University of Rome "Tor Vergata"
297502;Pontifícia Universidade Católica do Rio de Janeiro
294995;Shanghai International Studies University
297464;The Open University
297231;Tufts University
294496;Doshisha University
296994;Xiamen University
294034;City, University of London
297179;Julius-Maximilians-Universität Würzburg
294136;Kobe University
294268;University of Hawai'i at Mañoa
297186;University of Westminster
296405;Universidad de Alcalá
294808;National Chung Hsing University
297514;Murdoch University
294623;National and Kapodistrian University of Athens
294498;Universidad Diego Portales (UDP)
297583;Fordham University
294487;University Duesseldorf
294553;Universitat Politècnica de Catalunya
294791;Aix-Marseille University
296663;Aalborg University
297259;Temple University
296865;Universidade Federal de Minas Gerais
294402;Florida State University
294454;Friedrich-Alexander-Universität Erlangen-Nürnberg
296820;University of Canberra
294525;University of Coimbra
297592;University of Johannesburg
294556;Carleton University
294524;College of William & Mary
294337;The University of Georgia
294472;European University Institute
297096;Pontificia Universidad Católica de Valparaíso
297050;American University of Beirut (AUB)
294627;Aston University
295039;Babes-Bolyai University
297652;Bogaziçi Üniversitesi
294141;Christian-Albrechts-University zu Kiel
294504;De La Salle University
294483;École Normale Supérieure de Lyon
294013;Eötvös Lorànd University
297427;George Mason University
294242;Indian Institute of Technology Delhi (IITD)
297111;International Islamic University Malaysia (IIUM)
296684;King Saud University
294164;KIT, Karlsruhe Institute of Technology
294879;Mahidol University
294770;Northumbria University at Newcastle
294667;Ohio University
294868;Philipps-Universität Marburg
297483;Pusan National University
297500;Ritsumeikan University
297386;Shandong University
297004;Sichuan University
297274;Swansea University
297208;Vienna University of Technology
297267;Instituto Tecnológico y de Estudios Superiores de Monterrey
293412;Universidad Autónoma Metropolitana (UAM)
