id,name,names,external_ids,website,wikipedia
23,Hong Kong Polytechnic University,"{""ru"":""Гонконгский политехнический университет"",""es"":""Universidad Politécnica de Hong Kong"",""zh"":""香港理工大学"",""ar"":""جامعة هونغ كونغ للفنون التطبيقية"",""fr"":""Université polytechnique de Hong Kong"",""de"":""Polytechnische Universität Hongkong"",""ja"":""香港理工大学"",""ko"":""홍콩이공대학"",""pt"":""Universidade Politécnica de Hong Kong""}","{""ISNI"":""0000 0004 1764 6123"",""FundRef"":""501100006066"",""OrgRef"":""23757778"",""Wikidata"":""Q1187271""}",http://www.polyu.edu.hk,http://en.wikipedia.org/wiki/Hong_Kong_Polytechnic_University
24,University of Western Australia,"{""ru"":""Университет Западной Австралии"",""es"":""Universidad de Australia del Oeste"",""zh"":""西澳大利亚大学"",""ar"":""جامعة غرب استراليا"",""fr"":""L'Université d'Australie occidentale"",""de"":""University of Western Australia"",""ja"":""ウェスタン・オーストラリア大学"",""ko"":""웨스턴오스트레일리아 대학교"",""pt"":""Universidade da Austrália Ocidental""}","{""ISNI"":""0000 0004 1936 7910"",""FundRef"":""501100004511"",""OrgRef"":""231031"",""Wikidata"":""Q1517021""}",http://www.uwa.edu.au,http://en.wikipedia.org/wiki/University_of_Western_Australia
25,University of New South Wales,"{""ru"":""Университет Нового Южного Уэльса"",""es"":""Universidad de Nueva Gales del Sur"",""zh"":""新南威尔士大学"",""ar"":""جامعة نيو ساوث ويلز"",""fr"":""L'Université de Nouvelle-Galles du Sud"",""de"":""Universität Neusüdwales"",""ja"":""ニュー・サウス・ウェールズ大学"",""ko"":""뉴사우스웨일스대학교"",""pt"":""Universidade de Nova Gales do Sul""}","{""ISNI"":""0000 0004 4902 0432"",""FundRef"":""501100007281"",""OrgRef"":""16766976"",""Wikidata"":""Q734764""}",http://www.unsw.edu.au,https://en.wikipedia.org/wiki/University_of_New_South_Wales
26,Queen Mary University of London,"{""ru"":""Лондонский Университет королевы Марии"",""es"":""Queen Mary, Universidad de Londres"",""zh"":""伦敦大学玛丽女王学院"",""ar"":""جامعة لندن ،كلية الملكة ماري"",""fr"":""Collège Queen Mary de l'Université de Londres"",""de"":""Queen Mary, University of London"",""ja"":""クイーン・マーガレット大学"",""ko"":""퀸메리대학"",""pt"":""Faculadade de Queen Mary da Universidade de Londres"",""cy"":""Queen Mary""}","{""ISNI"":""0000 0001 2171 1133"",""FundRef"":""501100005313"",""HESA"":""0139"",""UCAS"":""Q50"",""UKPRN"":""10007775"",""OrgRef"":""504928"",""Wikidata"":""Q195668""}",http://www.qmul.ac.uk,"http://en.wikipedia.org/wiki/Queen_Mary,_University_of_London"
27,University of Bern,"{""ru"":""Бернский университет"",""es"":""Universidad de Bern"",""zh"":""伯尔尼大学"",""ar"":""جامعة برن"",""fr"":""Université de Berne"",""de"":""Universität Bern"",""ja"":""ベルン大学"",""ko"":""베른대학교"",""pt"":""Universidade de Berna"",""it"":""Università di Berna""}","{""ISNI"":""0000 0001 0726 5157"",""FundRef"":""100009069"",""OrgRef"":""1157515"",""Wikidata"":""Q659080""}",http://www.unibe.ch,http://en.wikipedia.org/wiki/University_of_Bern
28,Queen's University Belfast,"{""ru"":""Университет Квинс в Белфасте"",""es"":""Universidad de la Reina de Belfast"",""zh"":""贝尔法斯特女王大学"",""ar"":""جامعة كوينز في بلفاست"",""fr"":""Université Queen's, Belfast"",""de"":""Queen's University Belfast"",""ja"":""クイーンズ大学ベルファスト"",""ko"":""벨파스트 퀸스 대학교"",""pt"":""Universidade da Rainha em Belfast"",""cy"":""Prifysgol y Frenhines""}","{""ISNI"":""0000 0004 0374 7521"",""FundRef"":""501100000873"",""HESA"":""0184"",""UCAS"":""Q75"",""UKPRN"":""10005343"",""OrgRef"":""20026539"",""Wikidata"":""Q877925""}",http://www.qub.ac.uk,http://en.wikipedia.org/wiki/Queen's_University_Belfast
29,American University in Cairo,"{""fr"":""Université américaine du caire"",""ar"":""الجامعة الأمريكية بالقاهرة""}","{""ISNI"":""0000 0004 0513 1456"",""OrgRef"":""349287"",""Wikidata"":""Q469476""}",http://www.aucegypt.edu,http://en.wikipedia.org/wiki/American_University_in_Cairo
30,California Institute of Technology,"{""ru"":""Калифорнийский технологический институт"",""es"":""Instituto de Tecnología de California"",""zh"":""加州理工学院"",""ar"":""معهد كاليفورنيا للتقنية"",""fr"":""Institut de technologie de Californie"",""de"":""Technische Hochschule Kaliforniens"",""ja"":""カリフォルニア工科大学"",""ko"":""캘리포니아공과대학교"",""pt"":""Instituto de Tecnologia da Califórnia"",""en"":""California Institute of Technology""}","{""ISNI"":""0000000107068890"",""FundRef"":""100007287"",""OrgRef"":""5786"",""Wikidata"":""Q161562""}",http://www.caltech.edu,http://en.wikipedia.org/wiki/California_Institute_of_Technology
31,Massey University,,"{""FundRef"":""501100005923"",""OrgRef"":""87221"",""Wikidata"":""Q1134606""}",http://www.massey.ac.nz,http://en.wikipedia.org/wiki/Massey_University
32,Voronezh State Pedagogical University,,,http://www.vspu.ac.ru,http://ru.wikipedia.org/wiki/Воронежский_государственный_педагогический_университет
